uci_code,rider_name,nationality,date_of_birth
ADC,Tobias Bayer,AUT,1999-11-17
ADC,Lars Boven,NED,2001-08-13
ADC,Ramses Debruyne,BEL,2002-08-31
ADC,Simon Dehairs,BEL,2001-06-04
ADC,Tibor Del Grosso,NED,2003-07-27
ADC,Silvan Dillier,SUI,1990-08-03
ADC,Sam Gaze,NZL,1995-12-12
ADC,Robbe Ghys,BEL,1997-01-11
ADC,Gal Glivar,SLO,2002-05-01
ADC,Michael Gogl,AUT,1993-11-04
ADC,Kaden Groves,AUS,1998-12-23
ADC,Quinten Hermans,BEL,1995-07-29
ADC,Juri Hollmann,GER,1999-08-30
ADC,Jimmy Janssens,BEL,1989-05-30
ADC,Timo Kielich,BEL,1999-08-05
ADC,Xandro Meurisse,BEL,1992-01-31
ADC,Jasper Philipsen,BEL,1998-03-02
ADC,Edward Planckaert,BEL,1995-02-01
ADC,Jensen Plowright,AUS,2000-05-15
ADC,Johan Price-Pejtersen,DEN,1999-05-26
ADC,Jonas Rickaert,BEL,1994-02-07
ADC,Oscar Riesebeek,NED,1992-12-23
ADC,Henri Uhlig,GER,2001-08-01
ADC,Fabio Van den Bossche,BEL,2000-09-21
ADC,Mathieu van der Poel,NED,1995-01-19
ADC,Stan Van Tricht,BEL,1999-09-20
ADC,Luca Vergallito,ITA,1997-09-14
ADC,Gianni Vermeersch,BEL,1992-11-19
ADC,Emiel Verstrynge,BEL,2002-02-04
DAT,Tobias Lund Andresen,DEN,1982-08-20
DAT,Tiesj Benoot,BEL,1994-03-11
DAT,Leo Bisiaux,FRA,2005-02-14
DAT,Stefan Bissegger,SUI,1998-09-13
DAT,Cees Bol,NED,1995-07-27
DAT,Oscar Chamberlain,AUS,2005-01-15
DAT,Sander De Pestel,BEL,1998-10-11
DAT,Stan Dewulf,BEL,1997-12-20
DAT,Felix Gall,AUT,1998-02-27
DAT,Pierre Gautherat,FRA,2003-01-16
DAT,Robbe Ghys,BEL,1997-01-11
DAT,Tord Gudmestad,NOR,2001-05-08
DAT,Daan Hoole,NED,1999-02-22
DAT,Noa Isidore,FRA,2004-09-17
DAT,Olav Kooij,NED,2001-10-17
DAT,Jordan Labrosse,FRA,2002-09-15
DAT,Paul Lapeira,FRA,2000-05-25
DAT,Antoine L'Hote,FRA,2005-05-27
DAT,Gregor Muhlberger,AUT,1994-04-04
DAT,Oliver Naesen,BEL,1990-09-16
DAT,Aurelien Paret-Peintre,FRA,1996-02-27
DAT,Rasmus Sojberg Pedersen,DEN,2002-07-09
